avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure,status
282,IT,0,0.723,5,0,medium,0.214,3,Employed
133,sales,0,0.971,3,0,low,0.819,4,Employed
270,engineering,0,0.475,6,0,low,0.15,5,Employed
184,"",0,1,5,0,low,0.297,5,Employed
132,marketing,0,0.495,2,0,low,0.439,3,Left
126,support,1,0.821,3,0,low,0.773,10,Employed
139,product,0,0.856,4,0,medium,0.683,3,Employed
308,engineering,0,0.863,7,0,medium,0.124,4,Left
70,temp,0,0.73,3,0,low,0.669,3,Employed
147,engineering,0,0.73,2,0,low,0.42,3,Left
274,support,0,0.842,5,0,medium,0.83,6,Left
278,sales,0,0.766,7,0,low,0.149,4,Left
156,engineering,0,0.989,4,0,medium,0.456,2,Employed
185,sales,0,0.599,4,0,low,0.869,2,Employed
263,sales,0,0.745,6,0,low,0.76,6,Employed
260,sales,0,0.766,5,0,low,0.711,3,Employed
224,support,0,0.561,5,0,medium,0.96,2,Employed
224,sales,0,0.91,4,0,medium,0.616,10,Employed
135,sales,0,0.533,2,0,low,0.388,3,Left
147,marketing,0,0.714,2,0,low,0.968,3,Employed
245,engineering,0,0.933,7,0,medium,0.61,4,Left
203,product,1,0.494,3,0,medium,0.492,3,Employed
235,finance,1,0.736,4,0,high,0.929,2,Employed
187,IT,0,0.735,3,0,low,0.213,5,Employed
132,management,0,0.535,2,0,low,0.43,3,Left
258,product,0,0.814,7,0,low,0.147,4,Left
165,engineering,0,0.522,4,0,low,0.851,2,Employed
146,sales,0,0.532,2,0,low,0.42,3,Left
159,"",0,0.694,3,0,low,0.556,3,Employed
198,engineering,0,0.75,2,0,medium,0.527,2,Left
159,marketing,0,0.483,2,0,low,0.439,3,Left
275,product,0,0.574,2,0,low,0.895,3,Employed
141,support,0,0.932,3,0,medium,0.811,3,Employed
173,finance,0,0.73,4,0,low,0.863,3,Employed
203,sales,0,0.586,5,0,medium,0.74,2,Employed
203,engineering,0,0.66,4,0,low,0.274,5,Employed
230,sales,0,0.82,5,0,medium,0.13,4,Employed
168,sales,0,0.589,4,0,low,0.476,2,Employed
183,IT,0,0.716,3,0,low,0.787,3,Employed
246,support,0,0.328,5,0,medium,0.462,3,Employed
209,engineering,0,0.78,5,0,low,0.832,3,Employed
224,sales,0,1,3,0,medium,0.527,6,Employed
143,support,0,0.583,2,0,low,0.478,3,Left
140,sales,0,0.999,2,0,medium,0.53,2,Employed
212,support,0,0.789,3,0,low,0.725,4,Employed
156,marketing,0,0.53,3,0,low,0.636,5,Employed
186,IT,0,0.86,3,0,medium,0.73,2,Employed
162,sales,0,0.52,3,0,low,0.8,3,Employed
158,support,0,0.544,2,0,low,0.353,3,Left
156,sales,0,0.73,3,0,low,0.549,2,Employed
283,IT,0,0.73,3,0,low,0.55,3,Employed
113,"",0,0.512,4,0,low,0.632,3,Employed
214,IT,1,0.73,4,0,low,0.969,2,Employed
181,product,1,0.675,3,0,medium,0.548,3,Employed
140,support,0,0.81,4,0,low,0.527,3,Employed
184,engineering,0,0.918,4,0,low,0.915,3,Employed
168,sales,1,0.39,3,0,low,0.394,3,Employed
146,engineering,0,0.557,2,0,medium,0.471,3,Left
251,engineering,0,0.872,4,0,medium,0.696,2,Employed
219,support,0,1,5,0,low,0.735,5,Left
170,product,0,0.518,2,0,low,0.352,3,Employed
187,marketing,0,0.68,4,0,medium,0.189,5,Employed
207,product,0,0.495,3,0,medium,0.576,3,Employed
165,support,0,0.599,5,0,low,0.77,3,Employed
241,"",0,0.767,3,0,low,0.852,3,Employed
139,engineering,0,0.73,4,0,low,0.772,3,Employed
165,support,0,0.838,3,0,low,0.598,4,Employed
167,engineering,0,0.626,5,0,low,0.487,2,Employed
163,sales,0,0.928,4,0,medium,0.792,3,Employed
161,"",0,0.695,2,0,medium,0.612,5,Employed
271,IT,0,0.969,6,0,low,0.172,4,Left
310,sales,0,0.858,7,0,medium,0.147,4,Left
257,support,0,0.725,4,0,low,0.762,3,Employed
278,sales,0,0.862,7,0,low,0.98,4,Left
229,engineering,0,0.63,3,0,medium,0.82,6,Employed
186,IT,0,0.56,3,0,medium,0.736,3,Employed
211,sales,0,0.948,4,0,high,0.356,7,Employed
248,management,0,0.73,4,0,high,0.624,3,Employed
231,management,1,0.73,3,0,high,0.745,2,Employed
266,sales,0,0.872,3,0,low,0.694,5,Employed
135,engineering,0,0.451,2,0,low,0.392,3,Left
248,support,0,1,5,0,medium,0.71,5,Left
161,IT,0,0.726,4,0,low,0.786,3,Employed
212,product,0,0.873,3,0,medium,0.532,2,Employed
103,"",0,0.584,3,0,low,0.382,3,Employed
160,sales,0,0.891,3,0,low,0.762,2,Employed
268,engineering,0,0.797,5,0,low,0.851,3,Employed
116,sales,1,0.845,4,0,low,0.31,3,Employed
150,"",0,0.559,2,0,low,0.444,3,Left
146,IT,0,0.51,2,0,low,0.411,3,Left
215,IT,0,0.422,6,0,medium,0.67,3,Employed
194,sales,0,0.534,5,0,high,0.969,2,Employed
200,product,0,0.425,5,0,medium,0.565,4,Employed
213,sales,0,0.77,3,0,high,0.543,3,Employed
163,information_technology,0,0.95,3,0,low,0.933,2,Employed
148,sales,0,0.473,2,0,low,0.443,3,Left
245,product,0,0.56,2,0,medium,0.455,5,Employed
250,support,0,0.873,3,0,low,0.553,2,Left
250,sales,1,0.829,5,0,low,0.833,2,Employed
173,engineering,0,0.726,2,0,medium,0.452,2,Employed
248,sales,1,0.897,4,0,low,0.742,3,Employed
158,management,0,0.636,5,0,medium,0.956,3,Employed
196,support,0,0.84,4,0,low,0.469,2,Employed
265,procurement,0,0.627,3,0,low,0.96,8,Employed
159,engineering,0,0.868,3,0,high,0.961,3,Employed
262,sales,0,0.98,5,0,medium,0.972,3,Employed
175,sales,0,0.44,3,0,medium,0.285,3,Employed
278,sales,0,0.778,7,0,low,0.115,4,Left
248,sales,0,0.859,5,0,low,0.933,5,Left
275,product,0,0.524,3,0,low,0.632,2,Employed
258,support,0,0.866,5,0,low,0.293,6,Employed
253,engineering,0,1,5,0,medium,0.853,5,Left
165,support,0,0.643,4,0,low,0.162,5,Employed
269,support,1,0.767,3,0,medium,0.249,4,Employed
148,finance,0,0.538,2,0,medium,0.468,3,Left
156,sales,1,0.95,4,0,low,0.672,2,Employed
274,sales,1,0.812,4,0,low,0.839,2,Employed
196,support,1,1,3,0,low,0.76,6,Employed
146,engineering,1,0.359,3,0,low,0.623,4,Employed
274,sales,0,0.49,2,0,low,0.667,4,Left
139,marketing,0,0.52,2,0,low,0.372,3,Left
132,product,0,0.437,4,0,high,0.631,3,Employed
231,IT,1,0.616,5,0,medium,0.237,4,Employed
254,sales,0,0.547,4,0,low,0.55,4,Left
189,admin,0,0.539,4,0,low,0.831,4,Employed
104,support,0,0.789,5,0,low,0.78,4,Employed
254,marketing,0,0.871,4,0,low,0.83,5,Left
253,sales,0,0.557,5,0,medium,0.73,6,Employed
170,sales,0,0.661,2,0,low,0.487,8,Employed
195,sales,0,0.691,3,0,medium,0.872,3,Employed
255,management,0,0.561,5,0,medium,0.793,4,Employed
194,engineering,0,0.865,4,0,medium,0.547,2,Employed
260,IT,0,0.879,5,0,low,0.789,5,Left
212,finance,1,0.42,4,0,low,0.372,2,Employed
219,marketing,0,0.73,5,0,medium,0.934,2,Employed
187,management,0,0.96,4,0,high,0.681,3,Employed
252,"",0,0.779,4,0,medium,0.771,6,Employed
281,sales,0,0.532,4,0,medium,0.191,7,Employed
163,IT,0,0.616,4,0,low,0.947,5,Employed
155,engineering,0,0.898,3,0,medium,0.946,3,Employed
208,management,0,0.63,4,1,high,0.895,7,Employed
280,sales,0,0.949,6,0,low,0.152,4,Left
137,sales,0,0.875,3,0,low,1,3,Employed
242,information_technology,0,0.931,4,0,medium,0.636,2,Employed
229,sales,0,0.668,2,0,low,0.894,4,Employed
269,sales,0,0.874,6,0,low,0.41,4,Left
173,"",0,0.723,5,0,low,0.534,2,Employed
153,support,0,0.588,5,0,low,0.546,4,Left
282,"",0,0.981,6,0,medium,0.64,4,Left
233,support,0,0.543,4,0,low,0.581,4,Employed
275,support,0,0.396,3,0,low,0.219,5,Employed
179,support,0,0.569,3,0,low,0.716,4,Employed
195,engineering,0,0.836,5,0,low,0.783,4,Employed
206,marketing,0,0.582,2,0,low,0.785,2,Employed
239,product,0,0.919,4,0,low,0.83,5,Left
208,IT,1,0.817,4,0,low,0.834,3,Employed
150,engineering,0,0.676,3,0,medium,0.293,2,Employed
219,engineering,0,0.73,4,0,low,0.874,3,Employed
172,sales,0,0.73,5,0,low,0.326,2,Left
201,finance,0,0.726,3,0,medium,0.75,4,Employed
222,sales,0,0.965,5,1,medium,0.89,3,Employed
228,sales,0,1,2,0,low,0.248,3,Employed
198,"",0,0.954,2,0,low,0.584,2,Employed
146,marketing,0,0.56,2,0,low,0.42,3,Left
219,support,0,0.886,6,0,low,0.295,5,Left
257,engineering,0,0.831,5,0,medium,0.995,4,Employed
124,sales,0,0.64,3,0,medium,0.639,3,Employed
208,"",0,0.884,4,0,medium,0.926,2,Employed
129,support,0,0.43,2,0,medium,0.437,3,Left
259,product,0,0.89,3,0,high,0.464,2,Employed
142,support,0,0.555,3,0,low,0.683,3,Employed
238,"",0,0.927,3,0,low,0.875,2,Employed
239,sales,0,0.916,4,0,low,0.882,5,Left
152,support,0,0.62,2,0,low,0.525,3,Left
248,sales,0,0.672,3,0,medium,0.719,4,Employed
111,sales,0,0.983,4,0,high,0.835,2,Employed
180,sales,0,0.558,4,0,high,0.947,5,Employed
221,support,0,0.885,5,0,medium,0.794,6,Left
237,support,0,0.444,2,0,low,0.531,2,Employed
213,sales,0,0.71,4,0,low,0.777,3,Employed
160,sales,0,0.52,2,0,low,0.497,3,Left
255,sales,0,0.669,4,0,medium,0.912,2,Employed
288,support,0,0.957,6,0,medium,0.68,4,Left
258,management,0,0.782,4,0,high,0.74,3,Employed
199,sales,0,0.811,4,0,low,0.737,2,Employed
256,support,0,0.48,3,0,medium,0.633,6,Employed
305,finance,0,0.846,6,0,medium,0.13,4,Left
185,support,0,0.921,5,0,low,0.568,2,Employed
185,IT,0,0.663,4,0,medium,0.574,2,Employed
211,information_technology,0,0.67,3,0,low,0.579,3,Employed
283,engineering,1,0.834,6,0,low,0.128,4,Left
138,engineering,0,0.856,5,0,low,0.623,3,Employed
143,support,0,0.773,4,0,medium,0.83,3,Employed
134,sales,0,0.73,3,0,medium,0.452,3,Employed
234,marketing,0,0.73,3,0,medium,0.729,2,Employed
258,engineering,0,0.936,4,0,medium,0.964,5,Left
166,sales,0,0.575,3,0,medium,0.922,3,Employed
260,IT,0,0.812,6,0,medium,0.45,4,Left
176,sales,0,0.43,4,0,low,0.319,2,Employed
153,product,0,0.47,2,0,low,0.49,3,Left
154,marketing,0,0.547,2,0,low,0.341,3,Left
291,engineering,0,0.938,5,0,low,0.152,4,Left
273,marketing,1,0.655,6,0,medium,0.743,4,Employed
140,engineering,0,0.69,4,0,high,0.558,3,Employed
240,IT,0,0.897,5,0,medium,0.939,5,Left
236,sales,0,0.588,4,0,low,0.795,4,Employed
242,management,0,0.918,4,0,medium,0.661,2,Employed
171,admin,0,0.723,4,0,medium,0.911,4,Employed
150,support,0,0.875,4,0,high,0.481,2,Employed
152,product,0,0.44,2,0,low,0.341,3,Left
182,engineering,0,0.747,3,0,low,0.855,4,Left
133,engineering,0,0.81,4,1,medium,0.748,3,Employed
230,sales,1,0.684,3,0,medium,0.588,3,Employed
251,sales,0,0.523,3,0,low,0.529,2,Employed
225,sales,0,0.689,5,0,medium,0.692,7,Employed
164,engineering,0,0.914,5,0,low,0.679,3,Employed
81,temp,0,0.73,1,0,low,0.669,3,Employed
211,sales,0,0.882,3,0,medium,0.87,3,Employed
162,sales,0,0.798,3,0,medium,0.81,3,Employed
242,"",1,0.776,4,0,medium,0.87,3,Employed
132,engineering,0,0.626,4,0,medium,0.567,4,Employed
149,sales,0,0.492,2,0,low,0.4,3,Left
251,engineering,0,0.735,6,0,low,0.838,4,Employed
158,IT,0,0.546,2,0,low,0.391,3,Left
228,"",0,0.937,4,0,low,0.746,5,Left
229,support,0,0.669,6,0,medium,0.513,3,Employed
272,engineering,0,0.783,6,0,low,0.57,4,Left
195,engineering,1,0.947,4,0,medium,0.469,3,Employed
241,"",0,0.483,3,0,medium,0.655,3,Employed
305,engineering,0,0.933,6,0,low,0.149,4,Left
232,sales,0,0.716,4,0,medium,0.797,3,Employed
241,engineering,0,0.696,4,0,high,0.875,3,Employed
183,management,0,0.559,2,0,medium,0.322,2,Employed
135,information_technology,0,0.756,4,1,medium,0.82,3,Employed
193,admin,0,0.73,3,0,medium,1,3,Employed
120,finance,1,0.465,3,0,medium,0.561,6,Employed
145,support,0,0.46,2,0,low,0.395,3,Left
126,sales,0,0.935,5,0,medium,0.628,5,Employed
243,support,0,1,5,0,medium,0.763,5,Left
252,IT,0,0.927,4,0,low,0.549,4,Employed
159,"",0,0.47,2,0,high,0.456,3,Left
171,support,0,0.593,3,0,medium,0.584,3,Employed
223,sales,0,0.873,3,0,high,0.679,7,Employed
201,support,1,0.81,4,0,low,0.848,2,Employed
261,IT,0,0.787,4,0,medium,0.865,2,Employed
298,IT,0,0.855,5,0,low,0.142,4,Left
161,management,0,0.542,4,1,medium,0.673,7,Employed
134,procurement,0,0.697,5,0,medium,0.72,3,Employed
103,product,0,0.919,5,0,low,0.728,5,Employed
227,engineering,0,0.888,3,0,low,0.538,2,Employed
127,sales,0,0.588,2,0,low,0.43,3,Left
204,engineering,0,0.58,4,0,high,0.577,3,Employed
145,finance,0,0.81,6,0,medium,0.79,3,Employed
243,engineering,0,0.978,5,0,medium,0.592,2,Employed
186,IT,0,0.483,3,0,medium,0.729,3,Employed
71,temp,0,0.73,2,0,low,0.669,3,Employed
185,sales,1,0.821,6,0,high,1,4,Employed
270,"",0,0.882,3,0,medium,0.684,6,Employed
267,management,0,0.84,3,0,high,0.464,2,Employed
225,finance,0,0.484,5,0,high,0.842,2,Employed
170,IT,0,0.324,3,0,low,0.75,6,Employed
115,sales,0,0.667,2,0,high,0.454,3,Employed
154,IT,0,0.619,2,0,low,0.438,3,Left
173,engineering,1,0.536,4,0,low,0.824,2,Employed
226,support,0,0.648,5,0,medium,0.194,3,Employed
229,sales,0,0.76,4,0,low,0.522,3,Employed
134,IT,0,0.775,4,0,low,0.553,2,Employed
240,support,0,1,5,0,low,0.849,5,Left
191,engineering,0,0.618,4,0,low,0.925,2,Employed
271,sales,0,0.946,5,0,low,0.847,5,Left
269,finance,0,0.931,7,0,medium,0.141,4,Left
139,engineering,0,0.537,2,0,low,0.58,3,Left
271,finance,0,0.879,3,0,medium,0.779,2,Employed
145,support,1,0.849,3,0,medium,0.871,3,Employed
304,engineering,0,0.789,6,0,medium,0.56,5,Left
135,support,0,0.82,5,0,low,0.743,2,Employed
246,IT,0,0.839,4,0,high,0.494,3,Employed
267,sales,0,0.918,6,0,medium,0.551,4,Employed
177,engineering,0,1,3,0,medium,0.813,2,Employed
254,support,0,0.61,3,0,high,0.877,2,Employed
155,sales,0,0.73,2,0,low,0.175,3,Employed
147,marketing,0,0.474,2,0,low,0.386,3,Left
244,IT,0,0.673,4,0,medium,0.663,2,Employed
250,sales,1,0.73,5,0,medium,0.76,3,Employed
180,engineering,0,0.934,5,0,high,0.64,2,Employed
251,engineering,0,1,4,0,low,0.925,6,Left
134,"",0,0.731,3,0,low,0.95,3,Employed
271,sales,0,0.982,3,0,low,0.828,3,Employed
198,engineering,0,0.369,2,0,medium,0.282,4,Employed
135,marketing,1,0.98,5,0,low,0.734,4,Employed
203,engineering,0,0.821,5,0,low,0.938,3,Employed
287,IT,0,0.497,3,0,low,0.534,5,Employed
238,engineering,0,0.687,3,0,medium,0.82,2,Employed
160,support,0,0.652,3,0,medium,0.781,3,Employed
192,sales,0,0.614,2,0,low,0.812,2,Employed
258,product,0,0.73,3,0,medium,0.692,3,Employed
240,IT,0,0.752,5,0,medium,0.752,4,Employed
178,"",0,0.78,3,0,medium,0.754,2,Employed
221,sales,0,1,5,0,medium,0.929,6,Left
138,sales,1,0.493,3,0,low,0.644,2,Employed
188,sales,0,0.816,2,0,low,0.95,2,Employed
289,support,0,0.936,6,0,medium,0.178,5,Left
197,sales,0,0.951,4,0,medium,0.942,3,Employed
231,sales,0,0.89,4,0,low,0.194,5,Employed
153,sales,1,0.51,2,0,low,0.444,3,Left
128,sales,0,0.479,2,0,medium,0.498,3,Left
149,admin,0,0.55,2,0,low,0.452,3,Left
185,sales,0,0.73,3,0,low,0.568,2,Employed
229,engineering,0,0.586,5,0,medium,0.731,3,Employed
175,"",0,0.781,4,0,medium,0.529,2,Employed
128,engineering,0,0.543,2,0,low,0.415,3,Left
241,sales,0,0.76,5,0,high,0.596,3,Employed
101,temp,0,0.73,1,0,medium,0.669,3,Employed
247,engineering,0,0.843,4,0,low,0.813,6,Left
269,support,0,0.766,3,0,medium,0.789,2,Employed
229,sales,0,0.412,5,0,low,0.111,4,Employed
188,engineering,0,0.547,3,0,high,0.522,3,Employed
212,sales,0,0.971,4,0,low,0.89,2,Employed
252,support,0,0.73,3,0,medium,0.784,3,Employed
222,sales,0,0.73,5,0,low,0.947,2,Employed
270,sales,0,0.992,5,0,low,0.882,5,Left
183,marketing,0,0.549,4,0,low,0.644,3,Employed
163,marketing,0,0.631,5,0,medium,0.622,4,Employed
207,sales,0,0.524,4,0,low,0.27,5,Employed
234,sales,1,0.679,3,0,high,0.697,3,Employed
121,sales,0,0.676,3,0,low,0.351,2,Employed
131,engineering,1,0.799,3,0,low,0.271,5,Employed
160,sales,0,0.59,2,0,low,0.47,3,Left
207,engineering,0,0.972,3,0,low,0.62,10,Employed
224,engineering,0,1,4,0,medium,0.834,5,Left
132,procurement,0,0.486,2,0,low,0.446,3,Left
139,sales,0,1,5,0,medium,0.66,2,Employed
192,engineering,1,0.557,5,0,low,0.834,3,Employed
167,IT,1,0.786,4,0,medium,0.957,3,Employed
265,finance,0,0.478,3,0,low,0.549,3,Employed
259,product,0,0.973,5,0,low,0.781,6,Left
194,engineering,0,0.741,5,0,low,0.759,4,Employed
207,marketing,0,0.6,3,0,medium,0.694,3,Employed
262,engineering,1,0.886,6,0,low,0.67,5,Left
134,"",0,0.556,2,0,low,0.511,3,Left
181,product,1,0.675,3,0,medium,0.511,3,Employed
134,support,0,0.974,4,0,medium,0.613,3,Employed
129,IT,0,0.73,2,0,low,0.348,3,Left
220,engineering,0,1,5,0,low,0.739,5,Left
156,support,1,0.621,3,0,low,0.688,6,Employed
211,support,0,0.927,3,0,medium,0.765,3,Employed
136,sales,0,0.941,5,0,low,0.955,4,Employed
132,engineering,0,0.52,2,0,medium,0.375,3,Left
268,finance,1,0.887,6,0,medium,0.41,4,Employed
156,sales,0,0.734,3,0,medium,0.962,3,Employed
272,sales,0,0.956,5,0,low,0.84,5,Left
265,admin,0,0.73,4,0,low,0.59,3,Employed
154,finance,0,0.463,2,0,medium,0.436,3,Left
230,management,0,0.757,5,0,high,0.669,10,Employed
186,support,1,0.765,5,0,medium,0.296,4,Employed
129,support,0,0.73,2,0,medium,0.442,3,Left
155,sales,0,0.73,2,0,low,0.445,3,Left
136,"",0,0.518,2,0,medium,0.423,3,Left
129,support,0,0.665,6,0,low,0.44,5,Employed
147,management,1,0.612,2,0,low,0.489,3,Left
159,sales,0,0.563,2,0,low,0.434,3,Left
161,IT,0,0.669,4,0,medium,0.559,2,Employed
163,engineering,0,0.545,6,0,low,0.655,6,Employed
140,"",0,0.691,5,0,medium,0.71,3,Employed
137,information_technology,0,0.543,2,0,medium,0.442,3,Left
204,marketing,0,0.73,3,0,medium,0.564,2,Employed
257,marketing,0,0.73,3,0,low,0.855,2,Employed
178,sales,0,0.555,2,0,low,0.327,3,Employed
239,support,0,0.916,5,0,low,0.913,3,Employed
186,management,0,0.885,4,1,medium,0.526,7,Employed
267,support,0,0.829,5,0,low,0.79,5,Left
148,admin,0,0.777,4,0,medium,0.814,3,Employed
264,finance,0,0.977,5,1,high,0.56,8,Employed
139,support,0,0.592,6,0,high,0.199,4,Left
151,engineering,0,0.752,2,0,low,0.359,4,Left
198,engineering,0,0.437,2,0,medium,0.328,4,Employed
263,support,1,0.938,4,0,medium,0.933,3,Employed
272,sales,0,0.737,5,0,low,0.3,2,Employed
265,IT,0,0.732,3,0,medium,0.556,3,Employed
220,sales,0,0.786,3,0,low,0.75,3,Employed
250,marketing,0,0.922,6,0,medium,0.815,2,Employed
140,support,0,0.464,2,0,low,0.391,3,Left
209,support,1,0.657,3,0,low,0.959,2,Employed
217,support,0,0.817,4,0,medium,0.745,6,Left
186,sales,0,0.617,4,0,medium,0.712,2,Employed
263,marketing,0,0.83,3,0,medium,0.346,3,Employed
172,sales,0,0.926,5,0,low,0.294,2,Left
233,support,0,0.837,5,0,low,0.63,3,Employed
204,finance,0,0.813,3,0,medium,0.68,10,Employed
203,finance,0,0.873,3,0,high,0.89,3,Employed
198,management,0,0.672,4,0,medium,0.541,2,Employed
266,sales,0,0.859,4,0,high,0.732,3,Employed
252,engineering,1,0.58,4,0,medium,0.729,2,Employed
141,sales,1,0.51,2,0,low,0.423,3,Left
161,IT,0,0.951,5,0,medium,0.253,5,Employed
214,"",0,0.774,3,0,medium,0.64,3,Employed
118,support,0,0.48,5,0,low,0.88,3,Employed
264,engineering,0,0.535,5,0,medium,0.834,3,Employed
130,engineering,0,0.459,2,0,low,0.389,3,Left
241,engineering,1,0.767,4,0,low,0.55,3,Employed
185,finance,0,0.939,3,0,medium,0.71,4,Employed
231,marketing,0,0.92,5,0,medium,0.994,2,Employed
245,engineering,0,0.874,5,0,low,0.482,2,Employed
218,support,0,0.577,3,0,medium,0.785,2,Employed
277,IT,0,1,2,0,medium,0.755,3,Left
119,temp,0,0.73,2,0,medium,0.669,3,Left
182,sales,0,0.877,3,0,low,1,4,Employed
158,sales,0,0.617,2,0,low,0.394,3,Left
135,"",0,0.562,3,0,medium,0.797,3,Employed
269,engineering,0,0.826,4,0,medium,0.568,2,Employed
212,support,0,0.756,4,0,low,0.99,3,Employed
166,finance,0,0.677,3,0,medium,0.992,2,Employed
252,sales,0,0.677,2,0,low,0.896,2,Employed
175,engineering,0,0.714,4,0,low,0.685,4,Employed
224,sales,0,0.75,4,0,low,0.82,3,Employed
141,engineering,0,0.633,2,0,medium,0.652,3,Employed
150,finance,0,0.858,4,0,medium,0.74,2,Employed
226,sales,0,0.78,3,0,medium,0.693,4,Employed
156,sales,0,0.523,4,0,high,0.888,4,Employed
157,engineering,0,0.882,4,0,medium,0.985,3,Employed
135,temp,0,0.73,2,0,low,0.669,3,Employed
280,information_technology,0,0.841,5,0,low,0.22,4,Employed
240,sales,0,0.58,5,0,medium,0.77,2,Employed
225,sales,0,0.954,5,0,high,0.882,4,Employed
242,sales,0,0.482,5,0,medium,0.825,3,Employed
151,admin,1,0.8,3,0,low,0.811,3,Employed
212,sales,0,0.759,4,0,low,0.966,3,Employed
231,sales,0,0.536,6,0,low,0.255,4,Employed
252,engineering,0,0.974,3,0,medium,0.726,3,Employed
234,support,0,0.73,3,0,medium,0.927,2,Employed
220,management,1,0.671,4,0,high,0.585,3,Employed
285,support,0,0.73,2,0,medium,0.822,2,Employed
265,sales,0,0.874,4,0,low,0.88,6,Left
210,engineering,0,0.734,5,0,medium,0.541,5,Employed
265,engineering,0,0.923,4,0,medium,0.634,4,Employed
179,support,0,0.88,5,0,low,0.359,5,Employed
253,sales,0,0.592,3,0,medium,0.842,2,Employed
260,sales,1,0.62,4,0,low,0.681,2,Employed
128,management,0,0.488,2,0,low,0.358,3,Left
135,finance,0,0.73,4,0,medium,0.563,3,Employed
228,support,1,0.93,5,0,low,0.99,5,Left
153,sales,1,0.675,4,0,low,0.64,3,Employed
244,sales,0,0.87,5,0,low,0.73,6,Left
157,sales,0,0.54,2,0,low,0.328,3,Left
243,sales,0,1,5,0,medium,0.873,6,Employed
261,IT,0,0.698,3,0,medium,0.642,2,Employed
183,sales,0,0.73,3,0,low,0.491,3,Employed
152,product,0,0.556,2,0,medium,0.5,3,Left
291,product,0,0.877,6,0,low,0.67,4,Left
139,IT,0,0.786,3,0,medium,1,2,Employed
139,IT,1,0.73,4,0,low,0.728,3,Employed
141,sales,0,0.57,4,0,low,0.855,3,Employed
193,sales,0,0.48,3,0,medium,0.574,6,Employed
225,engineering,0,0.698,5,0,low,0.67,4,Employed
241,finance,0,0.915,4,0,medium,0.673,4,Employed
238,management,1,0.73,4,0,low,0.865,3,Employed
158,engineering,0,0.73,3,0,low,0.773,2,Employed
96,temp,1,0.73,1,0,medium,0.669,3,Employed
204,finance,1,0.946,4,0,low,0.259,4,Left
155,support,0,0.987,3,0,medium,0.6,3,Employed
106,finance,0,0.766,3,0,low,0.568,2,Employed
240,support,0,0.745,3,0,medium,0.529,3,Employed
189,marketing,0,0.58,6,0,medium,0.219,4,Employed
129,IT,0,0.73,2,0,medium,0.356,3,Left
141,sales,0,0.995,3,0,low,0.93,3,Employed
188,support,1,0.974,3,0,medium,0.964,3,Employed
150,product,0,0.914,4,0,low,0.723,2,Employed
146,support,0,0.644,5,0,low,0.761,3,Employed
261,sales,0,0.748,4,0,high,0.763,3,Employed
255,engineering,0,0.631,2,0,low,0.693,3,Left
182,engineering,0,0.569,3,0,medium,0.753,2,Employed
193,engineering,0,0.591,3,0,low,0.237,2,Employed
215,sales,0,0.771,6,0,medium,0.835,5,Employed
261,sales,0,0.858,5,0,low,0.82,5,Left
265,product,0,0.799,3,0,medium,0.897,3,Employed
262,sales,0,0.891,5,0,medium,0.831,6,Left
220,sales,1,0.941,4,1,medium,0.648,3,Employed
